Data,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia-Giulia,Lazio ,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia ,Sardegna,Sicilia,Toscana,Trentino,Alto Adige,Umbria,Valle D'Aosta,Veneto
06/11/20,33,33,100,33,33,33,33,33,100,33,33,100,66,33,66,33,33,33,33,100,33
11/11/20,66,66,100,33,33,33,33,66,100,33,33,100,66,33,66,66,33,100,66,100,33
15/11/20,66,66,100,100,66,66,33,66,100,66,33,100,66,33,66,100,33,100,66,100,33
29/11/20,100,66,66,100,66,66,33,33,66,66,33,66,66,33,33,100,33,100,66,100,33
06/12/20,100,66,66,66,33,33,33,33,66,33,33,66,33,33,33,66,33,66,33,66,33
13/12/20,66,33,33,66,33,33,33,33,33,33,33,33,33,33,33,66,33,66,33,66,33
10/01/21,33,33,66,33,66,33,33,33,66,33,33,33,33,33,66,33,33,33,33,33,66
17/01/21,66,33,66,33,66,66,66,66,100,66,33,66,66,33,100,33,33,100,66,66,66
24/01/21,66,33,66,33,66,66,66,66,66,66,33,66,66,66,100,33,33,100,66,66,66
01/02/21,33,33,33,33,33,33,33,33,33,33,33,33,66,66,66,33,33,66,66,33,33
13/02/21,66,33,33,33,33,33,33,66,33,33,33,33,33,33,66,66,66,66,66,33,33
21/02/21,33,33,33,66,66,33,33,66,33,33,66,33,33,33,33,66,66,66,66,33,33
01/03/21,66,100,33,66,66,33,33,33,66,66,100,66,33,0,33,66,66,66,66,33,33
08/03/21,66,100,33,33,66,66,33,33,66,66,100,66,33,0,33,66,66,66,66,33,66
15/03/21,66,66,66,100,100,100,100,66,100,100,100,100,100,0,66,66,100,66,66,66,100
22/03/21,66,66,66,100,100,100,100,66,100,100,66,100,100,66,66,66,100,66,66,66,100
29/03/21,66,66,100,100,100,100,66,66,100,100,66,100,100,66,66,100,100,66,66,100,100
06/04/21,66,66,100,100,100,100,66,66,100,66,66,100,100,66,66,100,66,66,66,100,66
12/04/21,66,66,66,100,66,66,66,66,66,66,66,66,100,100,66,66,66,66,66,100,66
19/04/21,66,66,66,66,66,66,66,66,66,66,66,66,100,100,66,66,66,66,66,100,66
26/04/21,33,66,66,33,33,33,33,33,33,33,33,33,66,100,66,33,33,33,33,66,33
03/05/21,33,66,66,33,33,33,33,33,33,33,33,33,66,66,66,33,33,33,33,100,33
10/05/21,33,33,33,33,33,33,33,33,33,33,33,33,33,66,66,33,33,33,33,66,33
17/05/21,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,66,33
24/05/21,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
31/05/21,33,33,33,33,33,0,33,33,33,33,0,33,33,0,33,33,33,33,33,33,33
07/06/21,0,33,33,33,33,0,33,33,33,33,0,33,33,0,33,33,33,33,0,33,0
14/06/21,0,33,33,33,0,0,0,0,0,33,0,0,0,0,33,33,0,33,0,33,0
21/06/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
28/06/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
